"Equip ID","Minesite","Equipment","Equipment Type","Model","Status","SerialNumber","Commissioning Date","Parent Product Family","Brand","Product Group"
"6585","Agbaou/Mota","G65","14","14","-1","F5800202","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"6590","Agbaou/Mota","G59","16","16M","-1","B9H00108","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"6635","Agbaou/Mota","G63","16","16M","-1","B9H00263","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"6588","Agbaou/Mota","G62","160","160M","-1","D9T01460","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"6591","Agbaou/Mota","E143","333","333","-1","TJT20268","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"6636","Agbaou/Mota","E100","336","336D2 L","-1","YCF00835","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"6592","Agbaou/Mota","E138","374","374F L","-1","AP400239","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"6593","Agbaou/Mota","E129","390","390F L","-1","HJD20280","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"6594","Agbaou/Mota","E118","6015","6015B","-1","FKD00171","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"6595","Agbaou/Mota","E142","6015","6015","-1","6B900140","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"6587","Agbaou/Mota","E127","6030","6030","-1","6P300103","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"6596","Agbaou/Mota","RD107","773","773D","-1","7ER00582","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"6597","Agbaou/Mota","RD112","777","777D","-1","FKR02037","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"6598","Agbaou/Mota","RD113","777","777D","-1","FKR02038","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"6599","Agbaou/Mota","RD121","777","777D","-1","FKR02076","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"6600","Agbaou/Mota","RD122","777","777D","-1","FKR02095","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"6601","Agbaou/Mota","RD123","777","777D","-1","FKR02096","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
