"Equip ID","Minesite","Equipment","Equipment Type","Model","Status","SerialNumber","Commissioning Date","Parent Product Family","Brand","Product Group","Created Date"
"6655","Bonikro/Mota","G64","14","14","-1","F5800194",,"MOTOR GRADER","CAT","MOTOR GRADER","05/11/2025"
"6656","Bonikro/Mota","G66","14","14","-1","F5800205",,"MOTOR GRADER","CAT","MOTOR GRADER","05/11/2025"
"6709","Bonikro/Mota","G41","16","16H NA","-1","6ZJ00442",,"MOTOR GRADER","CAT","MOTOR GRADER","05/11/2025"
"6657","Bonikro/Mota","E144","333","333","-1","TJT20269",,"EXCAVATOR","CAT","EXCAVATOR","05/11/2025"
"6658","Bonikro/Mota","E134","336","336","-1","GDY21316",,"EXCAVATOR","CAT","EXCAVATOR","05/11/2025"
"6659","Bonikro/Mota","E137","374","330C L","-1","CAP400238",,"EXCAVATOR","CAT","EXCAVATOR","05/11/2025"
"6660","Bonikro/Mota","E132","390","390F L","-1","GAY20208",,"EXCAVATOR","CAT","EXCAVATOR","05/11/2025"
"6661","Bonikro/Mota","E146","6015","6015","-1","6B900179",,"EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS","05/11/2025"
"6719","Bonikro/Mota","E135","6018","6018","-1","DHT18136",,"EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS","05/11/2025"
"6710","Bonikro/Mota","E128","6020","6020B","-1","DNR00161",,"EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS","05/11/2025"
"6711","Bonikro/Mota","E130","6020","6020B","-1","DNR00168",,"EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS","05/11/2025"
"6712","Bonikro/Mota","E131","6020","6020B","-1","DNY00108",,"EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS","05/11/2025"
"6662","Bonikro/Mota","E136","6030","6030","-1","DHL30180",,"EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS","05/11/2025"
"6713","Bonikro/Mota","ST02","745","745","-1","3F601732",,"ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK","05/11/2025"
"6663","Bonikro/Mota","RD126","777","777D","-1","FKR02099",,"OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK","05/11/2025"
"6668","Bonikro/Mota","RD160","777","777E","-1","KDP01430",,"OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK","05/11/2025"
"6669","Bonikro/Mota","RD161","777","777E","-1","KDP01431",,"OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK","05/11/2025"
"6670","Bonikro/Mota","RD162","777","777E","-1","KDP01432",,"OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK","05/11/2025"
"6671","Bonikro/Mota","RD163","777","777E","-1","KDP01433",,"OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK","05/11/2025"
"6664","Bonikro/Mota","RD170","777","777D","-1","AGC01733",,"OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK","05/11/2025"
