Equip ID;Minesite;Equipment;Equip Label;On Site Id;Equipment Type;Model;Status;SerialNumber;Commissioning Date;Parent Product Family;Brand;Product Group;Created Date
4070;Agbaou/Corica;GR006;GR006;;14;14H;0;ASE001126;12/31/2018 4:00:00 PM;MOTOR GRADER;CAT;MOTOR GRADER;15/09/2024
4071;Agbaou/Corica;GR036;GR036;;16;16;0;NN500122;12/31/2018 4:00:00 PM;MOTOR GRADER;CAT;MOTOR GRADER;15/09/2024
4072;Agbaou/Corica;GR037-1;GR037-1;;16;16;0;NN500132;12/31/2018 4:00:00 PM;MOTOR GRADER;CAT;MOTOR GRADER;15/09/2024
4073;Agbaou/Corica;EX114;EX114;;349;349D2 L;0;TAH10268;12/31/2018 4:00:00 PM;EXCAVATOR;CAT;EXCAVATOR;15/09/2024
4068;Agbaou/Corica;EX049;EX049;;6015;6015B;0;FKD00199;12/31/2018 4:00:00 PM;EXPANDED MINING PRODUCTS;CAT;EXPANDED MINING PRODUCTS;15/09/2024
4069;Agbaou/Corica;EX106-1;EX106-1;;6015;6015B;0;FKD00227;12/31/2018 4:00:00 PM;EXPANDED MINING PRODUCTS;CAT;EXPANDED MINING PRODUCTS;15/09/2024
4092;Agbaou/Corica;DT008-2;DT008-2;;777;777F;0;JRP02698;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
4093;Agbaou/Corica;DT017;DT017;;777;777F;0;JRP00460;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
4094;Agbaou/Corica;DT018-1;DT018-1;;777;777F;0;JRP00498;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
4095;Agbaou/Corica;DT019;DT019;;777;777F;0;JRP00730;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
4074;Agbaou/Corica;DT020-old;DT020-old;;777;777D;0;FKR02534;12/30/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
4075;Agbaou/Corica;DT021-1;DT021-1;;777;777D;0;FKR02535;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
4076;Agbaou/Corica;DT022-1;DT022-1;;777;777D;0;FKR02527;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
4077;Agbaou/Corica;DT023-1;DT023-1;;777;777D;0;FKR02536;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
4078;Agbaou/Corica;DT024-1;DT024-1;;777;777D;0;FKR02537;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
4096;Agbaou/Corica;DT055;DT055;;777;777F;0;JRP01974;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
4097;Agbaou/Corica;DT056-1;DT056-1;;777;777F;0;JRP01975;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
