"Equip ID","Minesite","Equipment","Equipment Type","Model","Status","SerialNumber","Commissioning Date","Parent Product Family","Brand","Product Group"
"3804","Fekola","MG006","14","14","-1","NN400215","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"3805","Fekola","MG007","14","14","-1","NN400216","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"3832","Fekola","MG001","16","16M","-1","R9H00912","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"3833","Fekola","MG002","16","16M","-1","R9H00783","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"3834","Fekola","MG003","16","16M3","-1","E9Y00256","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"3806","Fekola","MG008","16","16","0","NN500170","12/31/2018 8:00:00 AM","MOTOR GRADER","CAT","MOTOR GRADER"
"6639","Fekola","TMG08","16","16","-1","NN500170","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"4530","Fekola","TMG09","16","16","-1","NN500171","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"3808","Fekola","MG004","18","18","-1","NN600100","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"3809","Fekola","MG005","18","18","-1","NN600115","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"5957","Fekola","MG009","18",,"0",,"12/31/2018 4:00:00 PM",,"CAT",
"3810","Fekola","MG010","18","18","-1","NN600198","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"4419","Fekola","MG011","18","18","-1","NN600244","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"4420","Fekola","MG012","18","18","0","NN600231","12/31/2018 8:00:00 AM","MOTOR GRADER","CAT","MOTOR GRADER"
"6642","Fekola","TMG12","18","18","-1","NN600231","12/30/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"3835","Fekola","SS003","259D","259D","-1","GTK00157","12/31/2018 4:00:00 PM","SKID STEER LOADER","CAT","SKID STEER LOADER"
"3836","Fekola","SS004","259D","259D","-1","GTK00158","12/31/2018 4:00:00 PM","SKID STEER LOADER","CAT","SKID STEER LOADER"
"3837","Fekola","SS006","259D","259D","-1","GTK00160","12/31/2018 4:00:00 PM","SKID STEER LOADER","CAT","SKID STEER LOADER"
"3838","Fekola","SS010","259D","259D3","-1","TLS00509","12/31/2018 4:00:00 PM","SKID STEER LOADER","CAT","SKID STEER LOADER"
"3839","Fekola","SS012","259D","259D3","-1","TLS00556","12/31/2018 4:00:00 PM","SKID STEER LOADER","CAT","SKID STEER LOADER"
"3840","Fekola","SS013","259D","259D3","-1","TLS00557","12/31/2018 4:00:00 PM","SKID STEER LOADER","CAT","SKID STEER LOADER"
"3841","Fekola","SS008","289D","289D","-1","WCT00294","12/31/2018 4:00:00 PM","SKID STEER LOADER","CAT","SKID STEER LOADER"
"3842","Fekola","SS011","289D","289D3","-1","LA900515","12/31/2018 4:00:00 PM","SKID STEER LOADER","CAT","SKID STEER LOADER"
"3843","Fekola","TSS014","289D","289D3","-1","LA900521","12/31/2018 4:00:00 PM","SKID STEER LOADER","CAT","SKID STEER LOADER"
"3844","Fekola","EX006","307.5","307E","-1","H1Y03107","12/31/2018 4:00:00 PM","MINI HYDRAULIC EXCAVATOR","CAT","MINI HYDRAULIC EXCAVATOR"
"3845","Fekola","EX003","329","329D L","-1","DJF01235","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"3849","Fekola","EX004","336","336D L","-1","W3K00486","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"3848","Fekola","EX005","336","336D","-1","KKT00983","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"3846","Fekola","EX012","336","336 GC","-1","JFW00883","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"3847","Fekola","EX022","336","336 GC","-1","JFW21217","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"3850","Fekola","EX016","345","345 GC","-1","KEF10188","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"3851","Fekola","EX018","345","345 GC","-1","KEF30128","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"4452","Fekola","GN014","3456","3456","-1","GHJ00548","12/31/2018 4:00:00 PM","ENGINE - GENERATOR SET","CAT","ENGINE - GENERATOR SET"
"3852","Fekola","EX001","374","374D L","-1","PAS00981","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"3853","Fekola","EX002","374","374D L","-1","PAS00934","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"3811","Fekola","EX019","374","374","-1","RGM00274","12/31/2018 4:00:00 PM","EXCAVATOR	","CAT","EXCAVATOR	"
"3854","Fekola","EX013","390","390F L","-1","GAY20200","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"3812","Fekola","EX020","395","395","-1","SGD00309","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"3813","Fekola","EX021","395","395","-1","SGD00357","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"3855","Fekola","BH004","432","432F2","-1","LYJ00262","12/31/2018 4:00:00 PM","BACKHOE LOADER","CAT","BACKHOE LOADER"
"3814","Fekola","BH005","434",,"-1","L7K00442","12/31/2018 4:00:00 PM",,"CAT",
"3815","Fekola","BH006","434",,"-1","L7K00554","12/31/2018 4:00:00 PM",,"CAT",
"3816","Fekola","BH007","434",,"-1","L7K00741","12/31/2018 4:00:00 PM",,"CAT",
"3825","Fekola","EX014","6015","6015","-1","6B900102","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"3826","Fekola","EX015","6015","6015","-1","6B900110","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"3827","Fekola","EX017","6015","6015","-1","6B900105","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"3828","Fekola","EX007","6020","6020B","-1","DNR00119","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"3829","Fekola","EX009","6020","6020B","-1","DNR00134","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"3830","Fekola","EX010","6020","6020B","-1","DNR00136","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"3831","Fekola","EX011","6020","6020B","-1","DNR00153","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"3856","Fekola","FS001","6040","6040 FS","-1","DHX40182","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"3859","Fekola","FS002","6040","6040 FS","-1","DHX40183","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"3862","Fekola","ST003","725","725C","-1","TFB00306","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"3863","Fekola","AT002","740","740B","-1","L4E03105","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"3864","Fekola","AT004","740","740B","-1","L4E03109","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"3865","Fekola","AT006","740","740B","-1","L4E03114","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"3866","Fekola","FT002","745","745C","-1","LFK00507","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"3817","Fekola","FT004","745","745","-1","3F601522","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"3867","Fekola","ST006","745","745C","-1","LFK00506","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"3818","Fekola","ST015","745","745","-1","3F601536","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"3868","Fekola","WT006","745","745C","-1","LFK00415","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
