Equip ID;Minesite;Equipment;Equipment Type;Model;Status;SerialNumber;Commissioning Date;Parent Product Family;Brand;Product Group;Created Date
6054;Goulamina/CORICA;GR044;14;14;-1;F5800113;12/31/2018 4:00:00 PM;MOTOR GRADER;CAT;MOTOR GRADER;26/02/2025
6055;Goulamina/CORICA;EX101;349;349;-1;RBY11807;12/31/2018 4:00:00 PM;EXCAVATOR;CAT;EXCAVATOR;26/02/2025
6073;Goulamina/CORICA;EX049;6015;6015B;-1;FKD00199;12/31/2018 4:00:00 PM;EXPANDED MINING PRODUCTS;CAT;EXPANDED MINING PRODUCTS;26/02/2025
6074;Goulamina/CORICA;EX107;6015;6015;-1;6B900101;12/31/2018 4:00:00 PM;EXPANDED MINING PRODUCTS;CAT;EXPANDED MINING PRODUCTS;26/02/2025
6075;Goulamina/CORICA;EX128;6030;6030;-1;6P300106;12/31/2018 4:00:00 PM;EXPANDED MINING PRODUCTS;CAT;EXPANDED MINING PRODUCTS;26/02/2025
6056;Goulamina/CORICA;SC003;631;631E;-1;1NB00984;12/31/2018 4:00:00 PM;WHEEL TRACTOR-SCRAPER;CAT;WHEEL TRACTOR-SCRAPER;26/02/2025
6057;Goulamina/CORICA;SC004;631;631E;-1;1NB00985;12/31/2018 4:00:00 PM;WHEEL TRACTOR-SCRAPER;CAT;WHEEL TRACTOR-SCRAPER;26/02/2025
6058;Goulamina/CORICA;SC005;631;631E;-1;1NB00992;12/31/2018 4:00:00 PM;WHEEL TRACTOR-SCRAPER;CAT;WHEEL TRACTOR-SCRAPER;26/02/2025
6059;Goulamina/CORICA;WT059;773;773E;-1;PRB00886;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;26/02/2025
6060;Goulamina/CORICA;DT111;777;777E;-1;KYD00103;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;26/02/2025
6061;Goulamina/CORICA;DT115;777;777E;-1;KYD00107;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;26/02/2025
6062;Goulamina/CORICA;DT120;777;777E;-1;KYD00134;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;26/02/2025
6063;Goulamina/CORICA;DT131;777;777E;-1;KYD00270;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;26/02/2025
6064;Goulamina/CORICA;DT132;777;777E;-1;KYD00292;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;26/02/2025
6065;Goulamina/CORICA;DT133;777;777E;-1;KYD00293;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;26/02/2025
6066;Goulamina/CORICA;DT156;777;777E;-1;KYD00442;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;26/02/2025
6067;Goulamina/CORICA;DT157;777;777E;-1;KYD00443;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;26/02/2025
6068;Goulamina/CORICA;DT158;777;777E;-1;KYD00444;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;26/02/2025
6069;Goulamina/CORICA;DT159;777;777E;-1;KYD00445;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;26/02/2025
6070;Goulamina/CORICA;DT160;777;777E;-1;KYD00446;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;26/02/2025
6071;Goulamina/CORICA;DT161;777;777E;-1;KYD00447;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;26/02/2025
6072;Goulamina/CORICA;DT162;777;777E;-1;KYD00451;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;26/02/2025
6076;Goulamina/CORICA;DZ007;D10;D10N;-1;3SK00794;12/31/2018 4:00:00 PM;TRACK-TYPE TRACTOR;CAT;TRACK-TYPE TRACTOR;26/02/2025
6077;Goulamina/CORICA;DZ086;D10;D10R;-1;AKT76003;12/31/2018 4:00:00 PM;TRACK-TYPE TRACTOR;CAT;TRACK-TYPE TRACTOR;26/02/2025
6078;Goulamina/CORICA;DZ074;D9;D9R;-1;WDM03866;12/31/2018 4:00:00 PM;TRACK-TYPE TRACTOR;CAT;TRACK-TYPE TRACTOR;26/02/2025
6079;Goulamina/CORICA;DZ075;D9;D9R;-1;WDM04908;12/31/2018 4:00:00 PM;TRACK-TYPE TRACTOR;CAT;TRACK-TYPE TRACTOR;26/02/2025
6080;Goulamina/CORICA;DZ076;D9;D9G;-1;AK400694;12/31/2018 4:00:00 PM;TRACK-TYPE TRACTOR;CAT;TRACK-TYPE TRACTOR;26/02/2025
