"Equip ID","Minesite","Equipment","Equipment Type","Model","Status","SerialNumber","Commissioning Date","Parent Product Family","Brand","Product Group"
"4009","Kouroussa","GR042","16","14","-1","NN400222","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"4010","Kouroussa","GR043","16","14","-1","NN400263","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"4004","Kouroussa","EX122","349","349","-1","RBY21059","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"4005","Kouroussa","EX123","6015","6015","-1","6B900130","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"4006","Kouroussa","EX129","6015","6015","-1","6B900109","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"4007","Kouroussa","EX130","6015","6015B","-1","FKD00196","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"4008","Kouroussa","EX124","6020","6020B","-1","DNY00124","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"4015","Kouroussa","DT070","777","777E","-1","KDP00634","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4016","Kouroussa","DT071","777","777E","-1","KDP00635","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4017","Kouroussa","DT074","777","777E","-1","KDP00646","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4018","Kouroussa","DT076","777","777E","-1","KDP00648","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4019","Kouroussa","DT145","777","777E","-1","KYD02606","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4020","Kouroussa","DT146","777","777E","-1","KYD02607","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4021","Kouroussa","DT147","777","777E","-1","KYD02608","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4022","Kouroussa","DT148","777","777E","-1","KYD026010","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4023","Kouroussa","DT149","777","777E","-1","KYD026011","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4011","Kouroussa","DT150","777","777D","-1","FKR02498","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4012","Kouroussa","DT151","777","777D","-1","FKR02499","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4013","Kouroussa","DT152","777","777D","-1","FKR02500","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4014","Kouroussa","DT153","777","777D","-1","FKR02529","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4024","Kouroussa","DT154","777","777E","-1","KDP01208","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4025","Kouroussa","DT155","777","777E","-1","KDP01242","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4522","Kouroussa","DT163","777","777E","-1","KYD02506","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4523","Kouroussa","DT164","777","777E","-1","KYD02507","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4525","Kouroussa","DT165","777","777E","-1","KYD02503","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4524","Kouroussa","DT166","777","777E","-1","KYD02508","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4526","Kouroussa","DT167","777","777E","-1","KYD02509","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4026","Kouroussa","WT030","777 WT","777F","-1","JXP00253","12/31/2018 8:00:00 AM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4027","Kouroussa","LD025","950","950H","-1","N1A02848","12/31/2018 4:00:00 PM","WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER"
"4028","Kouroussa","LD079","986","986K","-1","NL800268","12/31/2018 4:00:00 PM","WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER"
"4029","Kouroussa","LD083","986","986K","-1","NL800254","12/31/2018 4:00:00 PM","WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER"
"4031","Kouroussa","DZ022","D9","D9R","-1","WDM04507","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"4030","Kouroussa","DZ072","D9","D9G","-1","AK400555","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"4032","Kouroussa","DZ073","D9","D9R","-1","WDM09402","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
