"Equip ID","Minesite","Equipment","Equipment Type","Model","Status","SerialNumber","Commissioning Date","Parent Product Family","Brand","Product Group","Created Date"
"5599","SNIM-Guelb","RH200N08","6050","6050 FS","-1","DH250161","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CATERPILLAR","EXPANDED MINING PRODUCTS","30/01/2025"
"6730","SNIM-Guelb","RH200N10","6050",,"-1","RH200166",,,"CATERPILLAR",,"24/02/2026"
"6731","SNIM-Guelb","789C307","789","789C","-1","2BW00501",,"OFF-HIGHWAY TRUCK","CATERPILLAR","OFF-HIGHWAY TRUCK","24/02/2026"
"6732","SNIM-Guelb","789C308","789","789C","-1","2BW00502",,"OFF-HIGHWAY TRUCK","CATERPILLAR","OFF-HIGHWAY TRUCK","24/02/2026"
"6733","SNIM-Guelb","789C309","789","789C","-1","2BW00571",,"OFF-HIGHWAY TRUCK","CATERPILLAR","OFF-HIGHWAY TRUCK","24/02/2026"
"6734","SNIM-Guelb","789C316","789","789C","-1","2BW00602",,"OFF-HIGHWAY TRUCK","CATERPILLAR","OFF-HIGHWAY TRUCK","24/02/2026"
"5570","SNIM-Guelb","789C323","789","789C","-1","2BW01270","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CATERPILLAR","OFF-HIGHWAY TRUCK","30/01/2025"
"6735","SNIM-Guelb","789C325","789","789C","-1","2BW01279",,"OFF-HIGHWAY TRUCK","CATERPILLAR","OFF-HIGHWAY TRUCK","24/02/2026"
"5574","SNIM-Guelb","789C330","789","789C","-1","2BW01282","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CATERPILLAR","OFF-HIGHWAY TRUCK","30/01/2025"
"6738","SNIM-Guelb","789C331","789","789C","-1","2BW01283",,"OFF-HIGHWAY TRUCK","CATERPILLAR","OFF-HIGHWAY TRUCK","24/02/2026"
"5575","SNIM-Guelb","789C333","789","789C","-1","2BW01748","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CATERPILLAR","OFF-HIGHWAY TRUCK","30/01/2025"
"6736","SNIM-Guelb","789C334","789","789C","-1","2BW01751",,"OFF-HIGHWAY TRUCK","CATERPILLAR","OFF-HIGHWAY TRUCK","24/02/2026"
"5576","SNIM-Guelb","789C335","789","789C","-1","2BW01749","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CATERPILLAR","OFF-HIGHWAY TRUCK","30/01/2025"
"5577","SNIM-Guelb","789C336","789","789C","-1","2BW01750","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CATERPILLAR","OFF-HIGHWAY TRUCK","30/01/2025"
"5578","SNIM-Guelb","789C337","789","789C","-1","2BW01752","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CATERPILLAR","OFF-HIGHWAY TRUCK","30/01/2025"
"5580","SNIM-Guelb","789C340","789","789C","-1","2BW01821","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CATERPILLAR","OFF-HIGHWAY TRUCK","30/01/2025"
"5581","SNIM-Guelb","789C341","789","789C","-1","2BW01822","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CATERPILLAR","OFF-HIGHWAY TRUCK","30/01/2025"
"5583","SNIM-Guelb","789C343","789","789C","-1","2BW01824","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CATERPILLAR","OFF-HIGHWAY TRUCK","30/01/2025"
"6737","SNIM-Guelb","789C344","789","789C","-1","2BW01825",,"OFF-HIGHWAY TRUCK","CATERPILLAR","OFF-HIGHWAY TRUCK","24/02/2026"
"5522","SNIM-Guelb","789D346","789","789D","-1","SPD00489","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CATERPILLAR","OFF-HIGHWAY TRUCK","30/01/2025"
"5523","SNIM-Guelb","789D347","789","789D","-1","SPD00490","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CATERPILLAR","OFF-HIGHWAY TRUCK","30/01/2025"
"5524","SNIM-Guelb","789D348","789","789D","-1","SPD00491","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CATERPILLAR","OFF-HIGHWAY TRUCK","30/01/2025"
"5525","SNIM-Guelb","789D349","789","789D","-1","SPD00492","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CATERPILLAR","OFF-HIGHWAY TRUCK","30/01/2025"
"5526","SNIM-Guelb","789D350","789","789D","-1","SPD00493","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CATERPILLAR","OFF-HIGHWAY TRUCK","30/01/2025"
"5527","SNIM-Guelb","789D351","789","789D","-1","SPD00494","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CATERPILLAR","OFF-HIGHWAY TRUCK","30/01/2025"
"5528","SNIM-Guelb","789D352","789","789D","-1","SPD00502","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CATERPILLAR","OFF-HIGHWAY TRUCK","30/01/2025"
