"Equip ID","Minesite","Equipment","Equipment Type","Model","Status","SerialNumber","Commissioning Date","Parent Product Family","Brand","Product Group"
"6498","Sangaredi/CBG","V150B","150",,"0","Z92W2131","12/31/2018 4:00:00 PM",,,
"6501","Sangaredi/CBG","NV274","16","16H","-1","ATS00816","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"6500","Sangaredi/CBG","NV274 MO","16",,"0",,"12/31/2018 4:00:00 PM",,,
"6504","Sangaredi/CBG","SAN-16M3","16",,"0",,"12/31/2018 4:00:00 PM",,,
"6503","Sangaredi/CBG","SAN-16M3 E9Y 2017-1","16",,"0",,"12/31/2018 4:00:00 PM",,,
"6502","Sangaredi/CBG","SAN-16T ATS00816","16",,"0",,"12/31/2018 4:00:00 PM",,,
"6505","Sangaredi/CBG","45V835","320","320D L","0","KZF00657","12/31/2018 8:00:00 AM","EXCAVATOR",,"EXCAVATOR"
"6507","Sangaredi/CBG","SANG-320D_L","320",,"0",,"12/31/2018 4:00:00 PM",,,
"6506","Sangaredi/CBG","SANG-320DL","320",,"0",,"12/31/2018 4:00:00 PM",,,
"6508","Sangaredi/CBG","SAN-6020B DNR 2017-1","6020",,"0",,"12/31/2018 4:00:00 PM",,,
"6528","Sangaredi/CBG","CBG-777F WW JXP00237","777",,"0",,"12/31/2018 4:00:00 PM",,,
"6509","Sangaredi/CBG","CP117[1]","777","777D","0","3PR00703","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK",,"OFF-HIGHWAY TRUCK"
"6514","Sangaredi/CBG","CP131","777","777F","-1","JRP01672","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"6518","Sangaredi/CBG","CP131 MO","777",,"0",,"12/31/2018 4:00:00 PM",,,
"6515","Sangaredi/CBG","CP132","777","777F","-1","JRP01673","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"6519","Sangaredi/CBG","CP132 MO","777",,"0",,"12/31/2018 4:00:00 PM",,,
"6516","Sangaredi/CBG","CP133","777","777F","-1","JRP01652","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"6520","Sangaredi/CBG","CP133 MO","777",,"0",,"12/31/2018 4:00:00 PM",,,
"6517","Sangaredi/CBG","CP134","777","777F","-1","JRP01670","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"6521","Sangaredi/CBG","CP134 MO","777",,"0",,"12/31/2018 4:00:00 PM",,,
"6522","Sangaredi/CBG","CP135 MO","777",,"0",,"12/31/2018 4:00:00 PM",,,
"6529","Sangaredi/CBG","CP148","777","777G","-1","TNM00872","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"6530","Sangaredi/CBG","CP149","777","777G","-1","TNM00882","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"6513","Sangaredi/CBG","SAN-777E","777",,"0",,"12/31/2018 4:00:00 PM",,,
"6535","Sangaredi/CBG","SAN-777G","777",,"0",,"12/31/2018 4:00:00 PM",,,
"6534","Sangaredi/CBG","SAN-777G TNM 2017-1","777",,"0",,"12/31/2018 4:00:00 PM",,,
"6510","Sangaredi/CBG","SANG-777D","777",,"0",,"12/31/2018 4:00:00 PM",,,
"6511","Sangaredi/CBG","SANG-777D FKR","777",,"0",,"12/31/2018 4:00:00 PM",,,
"6512","Sangaredi/CBG","SANG-777D FKR: 777D","777",,"0",,"12/31/2018 4:00:00 PM",,,
"6524","Sangaredi/CBG","SANG-777F","777",,"0",,"12/31/2018 4:00:00 PM",,,
"6532","Sangaredi/CBG","SANG-777G TNM","777",,"0",,"12/31/2018 4:00:00 PM",,,
"6533","Sangaredi/CBG","SANG-777G TNM: 777G","777",,"0",,"12/31/2018 4:00:00 PM",,,
"6531","Sangaredi/CBG","SANG-777G-TNM","777",,"0",,"12/31/2018 4:00:00 PM",,,
"6527","Sangaredi/CBG","SANG-JRP 777F","777",,"0",,"12/31/2018 4:00:00 PM",,,
"6523","Sangaredi/CBG","VCC0145: 777F Copy","777",,"0",,"12/31/2018 4:00:00 PM",,,
"6525","Sangaredi/CBG","VCC0135","777 WT","777F","-1","JRP01671","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"6526","Sangaredi/CBG","VCC0145","777 WT","777F","-1","JXP00237","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"6536","Sangaredi/CBG","BP226","824","824K","-1","2L400203","12/31/2018 4:00:00 PM","WHEEL DOZER","CAT","WHEEL DOZER"
"6538","Sangaredi/CBG","SAN-824K","824",,"0",,"12/31/2018 4:00:00 PM",,,
"6537","Sangaredi/CBG","SAN-824K 234","824",,"0",,"12/31/2018 4:00:00 PM",,,
"6540","Sangaredi/CBG","SAN-834K","824",,"0",,"12/31/2018 4:00:00 PM",,,
"6539","Sangaredi/CBG","SAN-834K LWY 2017-1","824",,"0",,"12/31/2018 4:00:00 PM",,,
