"Equip ID","Minesite","Equipment","Equipment Type","Model","Status","SerialNumber","Commissioning Date","Parent Product Family","Brand","Product Group"
"4504","Seguela","MESEG 4001","14","14","-1","NN400195","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"4505","Seguela","MESEG 4002","14","14","-1","NN400217","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"5940","Seguela","MESEG 2302","226B","226B3","-1","DXZ03146","12/31/2018 4:00:00 PM","SKID STEER LOADER","CAT","SKID STEER LOADER"
"4500","Seguela","MESEG 2004","352",,"-1","HLW00801","12/31/2018 4:00:00 PM",,"CAT",
"4508","Seguela","MESEG 2003","374","374","-1","RGM10053","12/31/2018 4:00:00 PM","EXCAVATOR	","CAT","EXCAVATOR	"
"4497","Seguela","MESEG 2002","395","395","-1","SGD00338","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"4502","Seguela","MESEG 2005","395","395","-1","SGD20123","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"4507","Seguela","MESEG 2301","428",,"-1","L7D01095","12/31/2018 4:00:00 PM",,"CAT",
"5941","Seguela","MESEG 2303","428","428F","-1","LBH03320","12/31/2018 4:00:00 PM","BACKHOE LOADER","CAT","BACKHOE LOADER"
"4499","Seguela","MESEG 2001","6020","6020B","-1","DNY00126","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"4519","Seguela","MESEG 9601","745","745","-1","3F601977","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"4520","Seguela","MESEG 9602","745","745","-1","3F601985","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"4506","Seguela","MESEG 9401","777","777E","-1","KYD00448","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4512","Seguela","MESEG 9402","777","777E","-1","KYD00449","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4510","Seguela","MESEG 9403","777","777E","-1","KYD02505","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4514","Seguela","MESEG 9404","777","777E","-1","KYD00354","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4518","Seguela","MESEG 9405","777","777E","-1","KYD00343","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4509","Seguela","MESEG 9406","777","777E","-1","KYD00355","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4501","Seguela","MESEG 9407","777","777E","-1","KYD00356","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4516","Seguela","MESEG 9408","777","777E","-1","KYD00357","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4517","Seguela","MESEG 3301","834","834K","-1","L4Y00270","12/31/2018 4:00:00 PM","WHEEL DOZER","CAT","WHEEL DOZER"
"4503","Seguela","MESEG 3101","988","988K","-1","L8X00476","12/31/2018 4:00:00 PM","WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER"
"4515","Seguela","MESEG 3102","988","988K","-1","L8X00477","12/31/2018 4:00:00 PM","WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER"
"4521","Seguela","MESEG 4401","CS78B","CS78B","-1","M7800530","12/31/2018 4:00:00 PM","PAVING COMPACTOR","CAT","PAVING COMPACTOR"
"4511","Seguela","MESEG 3201","D9","D9G","-1","AK400544","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"4498","Seguela","MESEG 3202","D9","D9G","-1","AK400542","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"4513","Seguela","MESEG 3203","D9","D9G","-1","AK400649","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
