"Equip ID","Minesite","Equipment","Equipment Type","Model","Status","SerialNumber","Commissioning Date","Parent Product Family","Brand","Product Group"
"4691","Siguiri","GD081","16","16M3","-1","E9Y00248","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"4692","Siguiri","GD082","16","16M3","-1","E9Y00252","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"4693","Siguiri","GD083","16","16M3","-1","E9Y00253","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"4694","Siguiri","GD084","16","CS-573E","-1","CNN500183","12/31/2018 4:00:00 PM","PAVING COMPACTOR","CAT","PAVING COMPACTOR"
"4654","Siguiri","EX043","330","330D2 L","-1","SZK10138","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"4656","Siguiri","EX045","330","330D2 L","-1","SZK10517","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"4653","Siguiri","EX042","374","374F L","-1","MFL10050","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"4655","Siguiri","EX044","6015","6015B","-1","FKD00190","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"4649","Siguiri","EX038","6020","6020B","-1","DNR00151","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"4650","Siguiri","EX039","6020","6020B","-1","DNR00128","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"4651","Siguiri","EX040","6020","6020B","-1","DNR00129","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"4652","Siguiri","EX041","6020","6020B","-1","DNR00131","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"4657","Siguiri","EX046","6020","6020B","-1","DNY00127","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"4661","Siguiri","WC048","745","745","-1","3F600291","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"4662","Siguiri","DT051","777","777G","-1","TNM01022","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4663","Siguiri","DT052","777","777G","-1","TNM01023","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4664","Siguiri","DT053","777","777G","-1","TNM01024","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4665","Siguiri","DT054","777","777G","-1","TNM01025","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4666","Siguiri","DT055","777","777G","-1","TNM01034","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4667","Siguiri","DT056","777","777G","-1","TNM01037","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4668","Siguiri","DT057","777","777G","-1","TNM01038","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4669","Siguiri","DT058","777","777G","-1","TNM01039","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4670","Siguiri","DT059","777","777G","-1","TNM01041","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4671","Siguiri","DT060","777","777G","-1","TNM01042","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4672","Siguiri","DT061","777","777G","-1","TNM01043","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4673","Siguiri","DT062","777","777G","-1","TNM01044","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4674","Siguiri","DT063","777","777G","-1","TNM01055","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4675","Siguiri","DT064","777","777G","-1","TNM01056","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4676","Siguiri","DT065","777","777G","-1","TNM01057","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4677","Siguiri","DT066","777","777G","-1","TNM01058","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4678","Siguiri","DT067","777","777G","-1","TNM01059","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4679","Siguiri","DT068","777","777G","-1","TNM01060","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4680","Siguiri","DT069","777","777G","-1","TNM01061","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4681","Siguiri","DT070","777","777G","-1","TNM01062","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4682","Siguiri","DT071","777","777G","-1","TNM01063","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4683","Siguiri","DT072","777","777G","-1","TNM01064","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4684","Siguiri","DT073","777","777G","-1","TNM01065","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4685","Siguiri","DT074","777","777G","-1","TNM01066","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
