"Equip ID","Minesite","Equipment","Equipment Type","Model","Status","SerialNumber","Commissioning Date","Parent Product Family","Brand","Product Group"
"4399","Simandou/Mota","4004","14","14","-1","F5800132","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"4398","Simandou/Mota","4005","14","14","-1","F5800170","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"4397","Simandou/Mota","4006","14","14","-1","F5800166","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"4365","Simandou/Mota","2017","374","374","-1","RGM20011","12/31/2018 4:00:00 PM","EXCAVATOR	","CAT","EXCAVATOR	"
"4366","Simandou/Mota","2018","374","374","-1","RGM20059","12/31/2018 4:00:00 PM","EXCAVATOR	","CAT","EXCAVATOR	"
"4367","Simandou/Mota","2019","374","374","-1","RGM20060","12/31/2018 4:00:00 PM","EXCAVATOR	","CAT","EXCAVATOR	"
"4368","Simandou/Mota","2020","395","395","-1","SGD20065","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"4369","Simandou/Mota","2021","395","395","-1","SGD20070","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"4378","Simandou/Mota","2003","6020","6020B","-1","DNY00143","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"4379","Simandou/Mota","2005","6020","6020B","-1","DNY00161","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"4384","Simandou/Mota","9408","740","740 GC","-1","3F800267","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"4385","Simandou/Mota","9409","740","740 GC","-1","3F800290","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"4387","Simandou/Mota","9410","740","740 GC","-1","3F800297","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"4386","Simandou/Mota","9411","740","740 GC","-1","3F800299","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
