"Equip ID","Minesite","Equipment","Equipment Type","Model","Status","SerialNumber","Commissioning Date","Parent Product Family","Brand","Product Group"
"5956","Tongon","GR037","16","794 AC","-1","MN500132","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4033","Tongon","GR048","16","16M","-1","B9H00724","12/31/2018 4:00:00 PM","MOTOR GRADER","CAT","MOTOR GRADER"
"4034","Tongon","EX048","349","349D L","-1","JGB00501","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"4050","Tongon","EX112","374","374F L","-1","MFL20072","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"4051","Tongon","EX070","390","390F L","-1","GAY20201","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"4052","Tongon","EX071","390","390F L","-1","GAY20204","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"5954","Tongon","EX135","395","395","-1","SGD20156","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"5955","Tongon","EX136","395","395","-1","SGD30025","12/31/2018 4:00:00 PM","EXCAVATOR","CAT","EXCAVATOR"
"4049","Tongon","EX106","6015","6015B","-1","FKD00227","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"4035","Tongon","AT112","745","745","-1","3F601600","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"4036","Tongon","AT113","745","745","-1","3F601601","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"4037","Tongon","AT114","745","745","-1","3F601602","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"4038","Tongon","AT115","745","745","-1","3F601604","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"4039","Tongon","AT116","745","745","-1","3F601642","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"4040","Tongon","AT117","745","745","-1","3F601651","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"4041","Tongon","AT118","745","745","-1","3F601652","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"4042","Tongon","AT119","745","745","-1","3F601447","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"4043","Tongon","AT120","745","745","-1","3F601694","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"4044","Tongon","AT121","745","745","-1","3F601695","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"4045","Tongon","AT122","745","745","-1","3F601701","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"4046","Tongon","AT123","745","745","-1","3F601703","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"5942","Tongon","AT207","745","745","-1","3F606218","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"5943","Tongon","AT208","745","745","-1","3F606217","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"5944","Tongon","AT209","745","745","-1","3F606258","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"5945","Tongon","AT210","745","745","-1","3F606259","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"5946","Tongon","AT211","745","745","-1","3F606260","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"5947","Tongon","AT212","745","745","-1","3F606181","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"5948","Tongon","AT213","745","745","-1","3F606173","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"5949","Tongon","AT214","745","745","-1","3F606236","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"5950","Tongon","AT215","745","745","-1","3F606237","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"5951","Tongon","AT216","745","745","-1","3F606257","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"4047","Tongon","WT045","745","745","-1","3F601433","12/31/2018 4:00:00 PM","ARTICULATED DUMP TRUCK","CAT","ARTICULATED DUMP TRUCK"
"4053","Tongon","WT060","773","773F","-1","EXD00110","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4054","Tongon","DT020","777","777D","-1","FKR02534","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4055","Tongon","DT021","777","777D","-1","FKR02535","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4056","Tongon","DT023","777","777D","-1","FKR02536","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4057","Tongon","DT112","777","777E","-1","KYD00104","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4058","Tongon","DT113","777","777E","-1","KYD00105","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4059","Tongon","DT114","777","777E","-1","KYD00106","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4060","Tongon","DT116","777","777E","-1","KDP01611","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
"4061","Tongon","DT117","777","777E","-1","KDP01645","12/31/2018 4:00:00 PM","OFF-HIGHWAY TRUCK","CAT","OFF-HIGHWAY TRUCK"
